ID,First Name,Last Name,DOB,Role,Moeny Available,Flights Pruchased,Miner Air Membership,Username,Password
18,Jafar,Aladdin,3/16/28,Customer,566.1499999999996,4,false,jafaraladdin,Fun!23
31,Prince,Eric,7/11/07,Customer,850.3799999999997,2,false,princeeric,Fun!23
5,Pluto,Disney,8/5/95,Customer,2072.9650000000024,2,true,plutodisney,Fun!23
32,Quasimodo,Disney,11/12/78,Customer,4736.659999999999,2,true,quasimododisney,Fun!23
3,Minnie,Mouse,11/23/42,Customer,1137.1299999999997,4,false,minniemouse,Fun!23
24,Simba,King,9/20/97,Customer,256.29500000000235,4,true,simbaking,Fun!23
36,Stitch,Disney,5/16/35,Customer,2891.365,1,true,stitchdisney,Fun!23
6,Chip,Disney,11/28/41,Customer,1811.97,1,false,chipdisney,Fun!23
21,Belle,Disney,10/13/15,Customer,1946.280000000001,3,false,belledisney,Fun!23
9,Ariel,Disney,3/12/37,Customer,143.53500000000054,2,true,arieldisney,Fun!23
28,Kaa,Disney,1/27/43,Customer,978.3199999999999,1,false,kaadisney,Fun!23
35,Lilo,Disney,8/9/34,Customer,1519.885,1,true,lilodisney,Fun!23
22,Cruella,De Vil,12/12/23,Customer,1896.19,4,false,cruellade vil,Fun!23
4,Goofy,Disney,6/10/34,Customer,433.9800000000014,2,false,goofydisney,Fun!23
11,Aladdin,Disney,11/3/66,Customer,3426.1299999999997,1,true,aladdindisney,Fun!23
19,Ursela,Mermaid,1/11/94,Customer,3332.1349999999993,3,true,urselamermaid,Fun!23
15,Peter,Pan,12/26/30,Customer,1402.4000000000015,2,true,peterpan,Fun!23
7,Dale,Disney,10/8/50,Customer,1408.7399999999993,1,false,daledisney,Fun!23
10,Jasmine,Disney,3/22/02,Customer,664.4100000000003,2,true,jasminedisney,Fun!23
20,Beast,Disney,1/18/44,Customer,2621.295,1,true,beastdisney,Fun!23
13,Mufassa,Disney,1/24/00,Customer,322.2649999999994,3,true,mufassadisney,Fun!23
17,Buzz,Lightyear,12/2/27,Customer,699.0350000000002,2,true,buzzlightyear,Fun!23
29,Evil,Queen,1/1/58,Customer,558.135000000002,4,true,evilqueen,Fun!23
33,Hercules,Disney,6/16/18,Customer,2814.505,2,true,herculesdisney,Fun!23
14,Aurora,Disney,7/18/62,Customer,1879.7600000000011,2,true,auroradisney,Fun!23
23,Scar,Lion,5/10/75,Customer,3021.68,5,true,scarlion,Fun!23
34,Mulan,Disney,2/5/87,Customer,1557.8199999999997,1,false,mulandisney,Fun!23
1,Mickey,Mouse,2/29/36,Customer,81.57499999999982,4,true,mickeymouse,Fun!23
30,Pinocchio,Disney,6/25/83,Customer,882.4299999999994,3,false,pinocchiodisney,Fun!23
27,Captaiin,Hook,8/18/88,Customer,2142.7599999999998,3,false,captaiinhook,Fun!23
2,Donald,Duck,3/21/17,Customer,665.8849999999998,4,true,donaldduck,Fun!23
12,Simba,Disney,3/23/29,Customer,401.9600000000007,4,true,simbadisney,Fun!23
26,Shere,Khan,2/18/74,Customer,2433.2400000000007,4,false,sherekhan,Fun!23
25,Gaston,Disney,6/12/32,Customer,3806.2400000000002,2,true,gastondisney,Fun!23
16,Woody,Disney,2/20/91,Customer,600.6000000000004,2,false,woodydisney,Fun!23
8,Cinderella,Disney,4/9/98,Customer,2023.3399999999997,2,false,cinderelladisney,Fun!23
498,Brittany,Nielsen,1/7/60,Employee,2166.48,4,false,brittanynielsen,Fun!23
906,Rodney,Moss,6/9/80,Employee,111.11750000000029,2,true,rodneymoss,Fun!23
861,Paul,Harmon,1/4/34,Employee,238.59499999999986,4,true,paulharmon,Fun!23
930,Jennifer,Schneider,4/6/91,Employee,215.5774999999999,9,true,jenniferschneider,Fun!23
